,ward_no,date,mean
412,11,2018-07-24,-0.5540452481802468
413,15,2018-07-24,-0.6051759554392555
414,140,2018-07-24,-0.5805164159649026
415,97,2018-07-24,-0.5216398204244149
416,48,2018-07-24,-0.5842107197214337
417,35,2018-07-24,-0.6011463998968483
418,116,2018-07-24,-0.5072687862042313
419,95,2018-07-24,-0.5120142005768835
420,30,2018-07-24,-0.6152363402669024
421,58,2018-07-24,-0.5938718224150797
422,105,2018-07-24,-0.5419873408179476
423,20,2018-07-31,-0.5491812648065761
424,102,2018-07-31,-0.3692464847583693
425,46,2018-07-31,-0.4615274971796503
426,73,2018-07-31,-0.5321444995652329
427,82,2018-07-31,-0.5952854672887887
428,124,2018-07-31,-0.4207528296607422
429,56,2018-07-31,-0.5963271667302192
430,3,2018-07-31,-0.6430570467508521
431,36,2018-07-31,-0.5575988813925592
432,41,2018-07-31,-0.5356357867690013
433,37,2018-07-31,-0.5631935616597429
434,139,2018-07-31,-0.6460249229482101
435,23,2018-07-31,-0.5349023377997176
436,40,2018-07-31,-0.5062300033702993
437,121,2018-07-31,-0.5324521520898015
438,33,2018-07-31,-0.5624799719707482
439,103,2018-07-31,-0.34100970294294913
440,13,2018-07-31,-0.6360411954225025
441,66,2018-07-31,-0.5744557192992436
442,123,2018-07-31,-0.4635237197392425
443,63,2018-07-31,-0.5260654759462742
444,21,2018-07-31,-0.5378907354100749
445,49,2018-07-31,-0.4660303542795395
446,70,2018-07-31,-0.5220529754098965
447,45,2018-07-31,-0.5118417360721971
448,100,2018-07-31,-0.4648516157323694
449,92,2018-07-31,-0.4068359536458097
450,9,2018-07-31,-0.583599875649501
451,114,2018-07-31,-0.4126812790347281
452,101,2018-07-31,-0.3756525491902126
453,138,2018-07-31,-0.70578935267663
454,31,2018-07-31,-0.5551525023777253
455,104,2018-07-31,-0.3539772129833839
456,5,2018-07-31,-0.6552476475252221
457,126,2018-07-31,-0.5176672787845369
458,14,2018-07-31,-0.6317404031512768
459,111,2018-07-31,-0.33000959739855795
460,93,2018-07-31,-0.4686548275814311
461,61,2018-07-31,-0.5132398553724595
462,86,2018-07-31,-0.4886365723442483
463,90,2018-07-31,-0.474894484552023
464,26,2018-07-31,-0.5769429568981245
465,72,2018-07-31,-0.522527932202388
466,134,2018-07-31,-0.6405187787386867
467,99,2018-07-31,-0.4527241664241966
468,125,2018-07-31,-0.4769440829319612
469,118,2018-07-31,-0.605494948213965
470,83,2018-07-31,-0.5355243377568355
471,43,2018-07-31,-0.5194386091356961
472,47,2018-07-31,-0.4533811949536671
473,115,2018-07-31,-0.4512469820806189
474,68,2018-07-31,-0.4754064448008463
475,39,2018-07-31,-0.5385767355595671
476,12,2018-07-31,-0.6384906192740541
477,108,2018-07-31,-0.39351426828615016
478,110,2018-07-31,-0.36981216140934603
479,141,2018-07-31,-0.7195041092633709
480,17,2018-07-31,-0.6022654995426391
481,7,2018-07-31,-0.6382387501708875
482,16,2018-07-31,-0.6368695178745523
483,137,2018-07-31,-0.6972433193915911
484,84,2018-07-31,-0.51832712992857
485,18,2018-07-31,-0.5969367497753757
